Feature,Importance
alcohol,0.15400086286568487
sulphates,0.11717727762742766
total sulfur dioxide,0.10131697734404216
volatile acidity,0.09864234952414995
density,0.08719868464728134
chlorides,0.08084880940994245
citric acid,0.07881689882392172
pH,0.07442383741444945
fixed acidity,0.07051256661485174
residual sugar,0.07010006665207422
free sulfur dioxide,0.0669616690761744
